model_id,endpoint,quota_type,quota_code,quota_name
anthropic.claude-sonnet-4-5-20250929-v1:0,global,rpm,L-DB84CE56,Global cross-region model inference requests per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,global,tpd,L-BC182137,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,global,tpm,L-27C57EE8,Global cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,us,rpm,L-4A6BFAB1,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,us,tpd,L-381AD9EE,Model invocation max tokens per day for Anthropic Claude Sonnet 4.5 V1 (doubled for cross-region calls)
anthropic.claude-sonnet-4-5-20250929-v1:0,us,tpm,L-F4DDD3EB,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,jp,rpm,L-4A6BFAB1,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,jp,tpd,L-381AD9EE,Model invocation max tokens per day for Anthropic Claude Sonnet 4.5 V1 (doubled for cross-region calls)
anthropic.claude-sonnet-4-5-20250929-v1:0,jp,tpm,L-F4DDD3EB,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,eu,rpm,L-4A6BFAB1,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,eu,tpd,L-381AD9EE,Model invocation max tokens per day for Anthropic Claude Sonnet 4.5 V1 (doubled for cross-region calls)
anthropic.claude-sonnet-4-5-20250929-v1:0,eu,tpm,L-F4DDD3EB,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,au,rpm,L-4A6BFAB1,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.5 V1
anthropic.claude-sonnet-4-5-20250929-v1:0,au,tpd,L-381AD9EE,Model invocation max tokens per day for Anthropic Claude Sonnet 4.5 V1 (doubled for cross-region calls)
anthropic.claude-sonnet-4-5-20250929-v1:0,au,tpm,L-F4DDD3EB,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.5 V1
twelvelabs.pegasus-1-2-v1:0,us,rpm,L-6E046197,Cross-region model inference requests per minute for Twelve Labs Pegasus
twelvelabs.pegasus-1-2-v1:0,apac,rpm,L-6E046197,Cross-region model inference requests per minute for Twelve Labs Pegasus
twelvelabs.pegasus-1-2-v1:0,base,concurrent,L-CABD464E,On-demand InvokeModel concurrent requests for Twelve Labs Pegasus
twelvelabs.pegasus-1-2-v1:0,base,rpm,L-5E8692C5,On-demand model inference requests per minute for Twelve Labs Pegasus
twelvelabs.pegasus-1-2-v1:0,eu,rpm,L-6E046197,Cross-region model inference requests per minute for Twelve Labs Pegasus
amazon.nova-2-lite-v1:0,global,rpm,L-D5F39C2F,Global cross-region model inference requests per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,global,tpd,L-AD940EDE,Global cross-region model inference tokens per day for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,global,tpm,L-71C69B70,Global cross-region model inference tokens per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,us,rpm,L-F06F1187,Cross-region model inference requests per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,us,tpd,L-210172B5,Model invocation max tokens per day for Amazon Nova 2 Lite (doubled for cross-region calls)
amazon.nova-2-lite-v1:0,us,tpm,L-C6F5908D,Cross-region model inference tokens per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,jp,rpm,L-F06F1187,Cross-region model inference requests per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,jp,tpd,L-210172B5,Model invocation max tokens per day for Amazon Nova 2 Lite (doubled for cross-region calls)
amazon.nova-2-lite-v1:0,jp,tpm,L-C6F5908D,Cross-region model inference tokens per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,eu,rpm,L-F06F1187,Cross-region model inference requests per minute for Amazon Nova 2 Lite
amazon.nova-2-lite-v1:0,eu,tpd,L-210172B5,Model invocation max tokens per day for Amazon Nova 2 Lite (doubled for cross-region calls)
amazon.nova-2-lite-v1:0,eu,tpm,L-C6F5908D,Cross-region model inference tokens per minute for Amazon Nova 2 Lite
amazon.nova-lite-v1:0,ca,rpm,L-89F8391A,Cross-region model inference requests per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,ca,tpd,L-45E0AD92,Model invocation max tokens per day for Amazon Nova Lite (doubled for cross-region calls)
amazon.nova-lite-v1:0,ca,tpm,L-7C42E72A,Cross-region model inference tokens per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,us,rpm,L-89F8391A,Cross-region model inference requests per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,us,tpd,L-45E0AD92,Model invocation max tokens per day for Amazon Nova Lite (doubled for cross-region calls)
amazon.nova-lite-v1:0,us,tpm,L-7C42E72A,Cross-region model inference tokens per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,apac,rpm,L-89F8391A,Cross-region model inference requests per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,apac,tpm,L-7C42E72A,Cross-region model inference tokens per minute for Amazon Nova Lite
